country_name,time,value
Meksiko,Feb-20,0
Belanda,Feb-20,0
Amerika Serikat,Feb-20,0.02
Italia,Feb-20,8.21
Jerman,Feb-20,14.04
Perancis,Feb-20,5.08
Finlandia,Feb-20,0
Lainnya,Feb-20,1.23
Malaysia,Mar-20,0.89
Thailand,Mar-20,0
Singapura,Mar-20,0.11
Vietnam,Mar-20,0
Philipina,Mar-20,0
ASEAN Lainnya,Mar-20,0
Jepang,Mar-20,0.06
Korea Selatan,Mar-20,0.0007
Tiongkok,Mar-20,0.0017
Hongkong,Mar-20,0
Taiwan,Mar-20,0
Uni Emirat Arab,Mar-20,1.57
Asia Lainnya,Mar-20,0
Australia,Mar-20,0
Meksiko,Mar-20,0
Belanda,Mar-20,0.00004
Amerika Serikat,Mar-20,0.01
Italia,Mar-20,0.08
Jerman,Mar-20,0
Perancis,Mar-20,0
Finlandia,Mar-20,0
Lainnya,Mar-20,0.0011
Malaysia,Apr-20,0
Thailand,Apr-20,0
Singapura,Apr-20,0.58
Vietnam,Apr-20,0
Philipina,Apr-20,0
ASEAN Lainnya,Apr-20,0
Jepang,Apr-20,0.28
Korea Selatan,Apr-20,0
Tiongkok,Apr-20,0.03
Hongkong,Apr-20,0
Taiwan,Apr-20,0
Uni Emirat Arab,Apr-20,0
Asia Lainnya,Apr-20,0.13
Australia,Apr-20,0
Meksiko,Apr-20,0
Belanda,Apr-20,0.03
Amerika Serikat,Apr-20,0.57
Italia,Apr-20,0.07
Jerman,Apr-20,0.57
Perancis,Apr-20,0.75
Finlandia,Apr-20,0
Lainnya,Apr-20,0
Malaysia,May-20,0
Thailand,May-20,0
Singapura,May-20,0.15
Vietnam,May-20,0
Philipina,May-20,0
ASEAN Lainnya,May-20,0
Jepang,May-20,0.15
Korea Selatan,May-20,0
Tiongkok,May-20,0.0002
Hongkong,May-20,0
Taiwan,May-20,0
Uni Emirat Arab,May-20,0
Asia Lainnya,May-20,0
Australia,May-20,0
Meksiko,May-20,0
Belanda,May-20,0.0001
Amerika Serikat,May-20,0.0022
Italia,May-20,0.04
Jerman,May-20,0
Perancis,May-20,0
Finlandia,May-20,0
Lainnya,May-20,0.0001
Malaysia,Jun-20,0
Thailand,Jun-20,0
Singapura,Jun-20,0.15
Vietnam,Jun-20,0
Philipina,Jun-20,0
ASEAN Lainnya,Jun-20,0
Jepang,Jun-20,0.02
Korea Selatan,Jun-20,0
